USER           PID  PPID     VSZ    RSS WCHAN            ADDR S NAME                       
root           171     2       0      0 0                   0 S [irq/253-bcl-lvl2]
root           172     2       0      0 0                   0 S [irq/260-bcl-lvl0]
root           173     2       0      0 0                   0 S [irq/261-bcl-lvl1]
root           174     2       0      0 0                   0 S [irq/262-bcl-lvl2]
root           175     2       0      0 0                   0 I [nvme-wq]
root           176     2       0      0 0                   0 I [nvme-reset-wq]
root           177     2       0      0 0                   0 I [nvme-delete-wq]
root           186     2       0      0 0                   0 S [f2fs_ckpt-8:13]
root           187     2       0      0 0                   0 S [f2fs_flush-8:13]
root           188     2       0      0 0                   0 S [f2fs_discard-8:13]
root           189     2       0      0 0                   0 S [f2fs_gc-8:13]
root           190     2       0      0 0                   0 I [kdmflush]
root           191     2       0      0 0                   0 I [kdmflush]
root           192     2       0      0 0                   0 I [kdmflush]
root           193     2       0      0 0                   0 I [kdmflush]
root           194     2       0      0 0                   0 I [kdmflush]
root           195     2       0      0 0                   0 I [kdmflush]
root           196     2       0      0 0                   0 I [kdmflush]
root           197     2       0      0 0                   0 I [kdmflush]
root           198     2       0      0 0                   0 I [kverityd]
root           199     2       0      0 0                   0 I [ext4-rsv-conver]
root           200     2       0      0 0                   0 I [kdmflush]
root           201     2       0      0 0                   0 I [kverityd]
root           202     2       0      0 0                   0 I [ext4-rsv-conver]
root           203     2       0      0 0                   0 I [kdmflush]
root           204     2       0      0 0                   0 I [kverityd]
root           205     2       0      0 0                   0 I [ext4-rsv-conver]
root           206     2       0      0 0                   0 I [kdmflush]
root           207     2       0      0 0                   0 I [kverityd]
root           208     2       0      0 0                   0 I [ext4-rsv-conver]
root           209     2       0      0 0                   0 I [kdmflush]
root           210     2       0      0 0                   0 I [kverityd]
root           211     2       0      0 0                   0 I [ext4-rsv-conver]
root           212     2       0      0 0                   0 I [kdmflush]
root           213     2       0      0 0                   0 I [kverityd]
root           214     2       0      0 0                   0 I [ext4-rsv-conver]
root           215     2       0      0 0                   0 I [kdmflush]
root           216     2       0      0 0                   0 I [kverityd]
root           217     2       0      0 0                   0 I [ext4-rsv-conver]
root           222     1 12470584  7264 0                   0 S init
root           224     1 12388512  8272 0                   0 S ueventd
prng_seeder    241     1 12535940  5140 0                   0 S prng_seeder
root           392     2       0      0 0                   0 I [mpcie_wq]
root           401     2       0      0 0                   0 S [irq/194-int_global_int]
root           402     2       0      0 0                   0 I [pmic_glink_rx]
root           403     2       0      0 0                   0 I [pdr_notifier_wq]
root           404     2       0      0 0                   0 I [memlat_wq]
root           437     2       0      0 0                   0 I [pdr_notifier_wq]
root           438     2       0      0 0                   0 S [irq/28-generic-irq]
root           440     2       0      0 0                   0 S [msm_perf:events_notify]
root           461     2       0      0 0                   0 I [pmic_glink_rx]
root           463     2       0      0 0                   0 S [irq/283-regulator-ocp]
root           464     2       0      0 0                   0 I [pdr_notifier_wq]
root           465     2       0      0 0                   0 S [irq/74-arm-smmu-context-fault]
root           466     2       0      0 0                   0 S [irq/75-arm-smmu-context-fault]
root           467     2       0      0 0                   0 S [irq/76-arm-smmu-context-fault]
root           468     2       0      0 0                   0 S [irq/77-arm-smmu-context-fault]
root           469     2       0      0 0                   0 S [irq/78-arm-smmu-context-fault]
root           470     2       0      0 0                   0 S [irq/79-arm-smmu-context-fault]
root           471     2       0      0 0                   0 S [irq/80-arm-smmu-context-fault]
root           472     2       0      0 0                   0 S [irq/287-smp2p_2]
root           473     2       0      0 0                   0 S [irq/290-smp2p_5]
root           474     2       0      0 0                   0 S [irq/81-arm-smmu-context-fault]
root           475     2       0      0 0                   0 S [irq/34-8804000.sdhci]
root           476     2       0      0 0                   0 S [irq/291-smp2p_1]
root           477     2       0      0 0                   0 S [irq/82-arm-smmu-context-fault]
root           478     2       0      0 0                   0 S [irq/83-arm-smmu-context-fault]
root           479     2       0      0 0                   0 S [irq/84-arm-smmu-context-fault]
root           480     2       0      0 0                   0 S [irq/85-arm-smmu-context-fault]
root           481     2       0      0 0                   0 S [irq/86-arm-smmu-context-fault]
root           482     2       0      0 0                   0 S [irq/87-arm-smmu-context-fault]
root           483     2       0      0 0                   0 S [irq/88-arm-smmu-context-fault]
root           485     2       0      0 0                   0 I [sdhci_msm_gener]
root           486     2       0      0 0                   0 S [irq/89-arm-smmu-context-fault]
root           506     2       0      0 0                   0 S [irq/256-flash_all_ramp_up]
root           508     2       0      0 0                   0 S [irq/255-flash_all_ramp_down]
root           522     2       0      0 0                   0 S [irq/254-flash_fault]
root           536     2       0      0 0                   0 I [rq_stats]
root           543     2       0      0 0                   0 S [khvcd]
root           544     2       0      0 0                   0 S [irq/90-arm-smmu-context-fault]
root           561     2       0      0 0                   0 S [irq/91-arm-smmu-context-fault]
root           562     2       0      0 0                   0 I [sdhci]
root           588     2       0      0 0                   0 S [irq/33-mmc1]
root           589     2       0      0 0                   0 S [irq/92-arm-smmu-context-fault]
root           590     2       0      0 0                   0 S [irq/93-arm-smmu-context-fault]
root           601     2       0      0 0                   0 S [irq/94-arm-smmu-context-fault]
root           603     2       0      0 0                   0 S [irq/43-arm-smmu global fault]
root           605     2       0      0 0                   0 S [spi0]
root           607     2       0      0 0                   0 S [smcinvoke_shmbridge_postprocess]
root           612     2       0      0 0                   0 S [irq/293-8804000.sdhci cd]
root           613     2       0      0 0                   0 S [adspsleepmon-worker]
root           614     2       0      0 0                   0 S [irq/259-fifo-empty]
root           615     2       0      0 0                   0 S [irq/294-q6v5 wdog]
root           620     2       0      0 0                   0 S [smcinvoke_object_postprocess]
root           621     2       0      0 0                   0 S [irq/38-q6v5 wdog]
root           623     2       0      0 0                   0 I [kworker/4:6-events]
root           625     2       0      0 0                   0 I [cfg80211]
root           626     2       0      0 0                   0 I [kworker/7:15-mm_percpu_wq]
root           635     2       0      0 0                   0 I [kworker/7:20-pm]
media          640     1 12449120  5332 0                   0 S audioadsprpcd
root           641     2       0      0 0                   0 I [mmc_complete]
root           643     2       0      0 0                   0 I [pdr_notifier_wq]
root           644     2       0      0 0                   0 S [gpio detect]
root           645     2       0      0 0                   0 S [cdsprm-wq]
root           646     2       0      0 0                   0 S [irq/305-gpio5-pwm]
root           647     2       0      0 0                   0 S [irq/95-arm-smmu-context-fault]
root           650     2       0      0 0                   0 S [irq/306-pmic_pwrkey]
root           651     2       0      0 0                   0 S [irq/96-arm-smmu-context-fault]
root           654     2       0      0 0                   0 I [cdsprm-wq-delay]
root           655     2       0      0 0                   0 I [qcrypto_seq_res]
root           656     2       0      0 0                   0 S [hwrng]
root           657     2       0      0 0                   0 I [ngd_master]
root           670     2       0      0 0                   0 S [irq/307-pmic_resin]
root           692     2       0      0 0                   0 I [kworker/3:23-events]
root           693     2       0      0 0                   0 I [rimps_wq]
root           694     2       0      0 0                   0 I [pm_workq]
root           695     2       0      0 0                   0 I [uaudio_svc]
root           696     2       0      0 0                   0 S [irq/97-arm-smmu-context-fault]
root           697     2       0      0 0                   0 I [batch_workq]
root           698     2       0      0 0                   0 S [irq/205-msm-vidc]
root           700     2       0      0 0                   0 I [kgsl-workqueue]
root           701     2       0      0 0                   0 S [irq/98-arm-smmu-context-fault]
root           702     2       0      0 0                   0 S [irq/99-arm-smmu-context-fault]
root           703     2       0      0 0                   0 S [irq/100-arm-smmu-context-fault]
root           704     2       0      0 0                   0 S [irq/101-arm-smmu-context-fault]
root           706     2       0      0 0                   0 S [irq/102-arm-smmu-context-fault]
root           707     2       0      0 0                   0 I [kgsl-lockless-w]
logd           708     1 12489588  7380 0                   0 S logd
root           709     2       0      0 0                   0 S [irq/192-pwr_event_irq]
root           711     2       0      0 0                   0 S [irq/308-dp_hs_phy_irq]
root           712     2       0      0 0                   0 S [irq/309-dm_hs_phy_irq]
root           731     2       0      0 0                   0 S [irq/310-ss_phy_irq]
root           732     2       0      0 0                   0 S [irq/193-msm_cvp]
root           733     2       0      0 0                   0 I [msm_cvp_workerq]
root           734     2       0      0 0                   0 I [pm_workerq_iris]
root           735     2       0      0 0                   0 S [irq/103-arm-smmu-context-fault]
lmkd           736     1 12488144  7472 0                   0 S lmkd
root           737     2       0      0 0                   0 S [irq/104-arm-smmu-context-fault]
root           738     2       0      0 0                   0 S [irq/105-arm-smmu-context-fault]
root           739     2       0      0 0                   0 S [cvp-dsp-thread]
system         740     1 12435632  5868 0                   0 S servicemanager
system         741     1 12486080  6784 0                   0 S hwservicemanager
system         742     1 12490640  4648 0                   0 S vndservicemanager
root           748     2       0      0 0                   0 S [irq/106-arm-smmu-context-fault]
root           774     2       0      0 0                   0 S [psimon]
system         782     1 12480924  6536 0                   0 S android.hardware.keymaster@4.0-strongbox-service-qti
system         783     1 12570700  8324 0                   0 S android.hardware.security.keymint-service-qti
system         784     1 13422432  6824 0                   0 S qseecomd
system         785     1 12423380  5312 0                   0 S vendor.qti.hardware.qseecom@1.0-service
root           786     1 12557524  9828 0                   0 S vold
root           789     2       0      0 0                   0 S [jbd2/sda5-8]
root           790     2       0      0 0                   0 I [ext4-rsv-conver]
root           792     2       0      0 0                   0 S [jbd2/sde13-8]
root           793     2       0      0 0                   0 I [ext4-rsv-conver]
root           794     2       0      0 0                   0 S [jbd2/sde22-8]
root           795     2       0      0 0                   0 I [ext4-rsv-conver]
root           796     2       0      0 0                   0 S [jbd2/sde60-8]
root           797     2       0      0 0                   0 I [ext4-rsv-conver]
root           800     2       0      0 0                   0 I [kdmflush]
root           804     1 12371812  4148 0                   0 S qvirtmgr
root           807   804 12474296  6112 0                   0 S qcrosvm
root           863     2       0      0 0                   0 S [irq/107-arm-smmu-context-fault]
root           864     2       0      0 0                   0 S [irq/44-arm-smmu-context-fault]
root           869     2       0      0 0                   0 I [k_ipa_usb]
root           874     2       0      0 0                   0 S [irq/108-arm-smmu-context-fault]
root           875     2       0      0 0                   0 I [byte-cntr]
root           877     2       0      0 0                   0 S [irq/45-arm-smmu-context-fault]
root           878     2       0      0 0                   0 S [irq/263-pm8550ve-f-temp-alarm]
root           879     2       0      0 0                   0 S [irq/46-arm-smmu-context-fault]
root           880     2       0      0 0                   0 S [irq/109-arm-smmu-context-fault]
root           881     2       0      0 0                   0 S [irq/264-pm8550vs-c-temp-alarm]
root           882     2       0      0 0                   0 S [irq/47-arm-smmu-context-fault]
root           883     2       0      0 0                   0 S [irq/265-pm8550vs-d-temp-alarm]
root           884     2       0      0 0                   0 S [kgsl-events]
root           885     2       0      0 0                   0 S [irq/266-pm8550vs-e-temp-alarm]
root           886     2       0      0 0                   0 S [irq/267-pm8550vs-g-temp-alarm]
root           887     2       0      0 0                   0 I [kgsl_devfreq_wq]
root           888     2       0      0 0                   0 S [irq/250-pm8550-temp-alarm]
root           889     2       0      0 0                   0 S [kgsl_hwsched]
root           890     2       0      0 0                   0 S [irq/257-pm8550b-temp-alarm]
root           891     2       0      0 0                   0 S [irq/110-arm-smmu-context-fault]
root           892     2       0      0 0                   0 S [irq/111-arm-smmu-context-fault]
root           893     2       0      0 0                   0 S [irq/112-arm-smmu-context-fault]
root           894     2       0      0 0                   0 S [irq/258-pm8550b-temp-alarm-lite]
root           895     2       0      0 0                   0 I [ipa_usb_wq]
root           896     2       0      0 0                   0 S [irq/73-arm-smmu-context-fault]
root           897     2       0      0 0                   0 S [irq/113-arm-smmu-context-fault]
root           898     2       0      0 0                   0 I [dsi_post_cmd_tx]
root           921     2       0      0 0                   0 I [cam_cci_wq]
root           922     2       0      0 0                   0 I [cam_cci_wq]
root           923     2       0      0 0                   0 I [cam_cci_wq]
root           924     2       0      0 0                   0 I [cam_cci_wq]
root           925     2       0      0 0                   0 I [cam_cci_wq]
root           926     2       0      0 0                   0 I [cam_cci_wq]
root           929     2       0      0 0                   0 I [dsi_post_cmd_tx]
root           930     2       0      0 0                   0 I [drm_dp]
root           931     2       0      0 0                   0 I [cds_recovery_wo]
root           932     2       0      0 0                   0 S [wlan_logging_thread]
root           933     2       0      0 0                   0 I [sdm_dp_audio_no]
root           934     2       0      0 0                   0 I [hdcp_1x_1]
root           935     2       0      0 0                   0 I [hdcp_2x]
root           936     2       0      0 0                   0 I [dp_hdcp2p2]
root           937     2       0      0 0                   0 S [crtc_commit:179]
root           938     2       0      0 0                   0 S [crtc_event:179]
root           939     2       0      0 0                   0 S [crtc_commit:241]
root           940     2       0      0 0                   0 S [crtc_event:241]
root           941     2       0      0 0                   0 S [crtc_commit:250]
root           942     2       0      0 0                   0 S [crtc_event:250]
root           943     2       0      0 0                   0 S [crtc_commit:259]
root           944     2       0      0 0                   0 S [crtc_event:259]
root           945     2       0      0 0                   0 S [crtc_commit:268]
root           946     2       0      0 0                   0 S [crtc_event:268]
root           947     2       0      0 0                   0 S [crtc_commit:277]
root           948     2       0      0 0                   0 S [crtc_event:277]
root           949     2       0      0 0                   0 S [pp_event]
root           950     2       0      0 0                   0 S [card0-crtc0]
root           951     2       0      0 0                   0 S [card0-crtc1]
root           952     2       0      0 0                   0 S [card0-crtc2]
root           953     2       0      0 0                   0 S [card0-crtc3]
root           954     2       0      0 0                   0 S [card0-crtc4]
root           955     2       0      0 0                   0 S [card0-crtc5]
root           958     2       0      0 0                   0 S [irq/346-aw883xx]
root           959     2       0      0 0                   0 S [irq/347-aw883xx]
root           961     2       0      0 0                   0 I [hyn_wq]
root           962     2       0      0 0                   0 S [irq/348-Hynitron Touch Int]
system         970     1 12523776  7588 0                   0 S spdaemon
system         971     1 12544388  4944 0                   0 S sec_nvm
system         974     1 12524720  5872 0                   0 S android.system.suspend@1.0-service
keystore       975     1 12896256 16172 0                   0 S keystore2
system         976     1 12373420  4676 0                   0 S android.hardware.atrace@1.0-service
root           983     1 12358240  5160 0                   0 S android.hardware.boot@1.2-service
nfc            985     1 12601556  7688 0                   0 S vendor.nxp.hardware.nfc@2.0-service
system         986     1 12487860  5364 0                   0 S sscrpcd
root          1011     2       0      0 0                   0 S [f2fs_ckpt-254:14]
root          1012     2       0      0 0                   0 S [f2fs_flush-254:14]
root          1013     2       0      0 0                   0 S [f2fs_discard-254:14]
root          1014     2       0      0 0                   0 S [f2fs_gc-254:14]
tombstoned    1018     1 12413956  2376 0                   0 S tombstoned
root          1038     1 12563312  6328 0                   0 S magiskd
root          1044     2       0      0 0                   0 I [at_usb0]
root          1045     2       0      0 0                   0 I [at_usb1]
root          1046     2       0      0 0                   0 I [at_usb2]
root          1047     2       0      0 0                   0 I [qdss]
root          1048     2       0      0 0                   0 I [qdss_mdm]
root          1049     2       0      0 0                   0 I [qdss_sw]
system        1073     1 12571760  4464 0                   0 S time_daemon
statsd        1112     1 12504896  5820 0                   0 S statsd
root          1147     2       0      0 0                   0 S [glink_spss]
root          1148     2       0      0 0                   0 S [irq/349-glink-native-spss]
system        1164     1 13516860 11308 0                   0 S ssgtzd
system        1170     1 12413876  4124 0                   0 S android.hidl.allocator@1.0-service
system        1172     1 12510808  6848 0                   0 S qccsyshal@1.2-service
bluetooth     1174     1 12675556  9984 0                   0 S android.hardware.bluetooth@1.1-service-qti
media         1176     1   22768   5112 0                   0 S android.hardware.cas@1.2-service
media         1178     1 12535712  6396 0                   0 S android.hardware.drm-service.clearkey
media         1183     1 12546920 12484 0                   0 S android.hardware.drm-service.widevine
root          1184     2       0      0 0                   0 S [glink_adsp]
gps           1185     1 12948376 16728 0                   0 S android.hardware.gnss-aidl-service-qti
system        1187     1 12364996  5296 0                   0 S android.hardware.health-service.qti
system        1188     1 12615132  8088 0                   0 S android.hardware.identity-service-qti
nfc           1189     1 12384172  6456 0                   0 S android.hardware.nfc@1.2-service-st
system        1190     1 12427888  6464 0                   0 S android.hardware.power-service
system        1192     1 12693136 12276 0                   0 S android.hardware.sensors-service.multihal
root          1198     1 12451800  5592 0                   0 S android.hardware.thermal@2.0-service.qti-v2
root          1199     1 12415796  4888 0                   0 S android.hardware.usb.gadget@1.1-service-qti
root          1202     1 12399864  5200 0                   0 S android.hardware.usb@1.2-service-qti
wifi          1217     1 12520048 20176 0                   0 S android.hardware.wifi@1.0-service
system        1225     1 12480140  6572 0                   0 S vendor.qti.spu@2.0-service
system        1240     1 12582796  6852 0                   0 S vendor.qti.spu@1.1-service
nobody        1247     1 12431028  4708 0                   0 S vendor.qti.hardware.memtrack-service
root          1253     1 12486264  8992 0                   0 S poweropt-service
media         1255     1 12400516  4888 0                   0 S qconfigservice
system        1256     1 12581656 10648 0                   0 S qesdk-manager
system        1257     1 12453964  6980 0                   0 S vendor.qti.esepowermanager@1.1-service
system        1261     1 12443632  4888 0                   0 S vendor.qti.hardware.capabilityconfigstore@1.0-service
system        1274     1 12489364  9488 0                   0 S vendor.qti.hardware.display.allocator-service
system        1281     1 13131384 32476 0                   0 S vendor.qti.hardware.display.composer-service
system        1286     1 12531456  5036 0                   0 S dspservice
root          1289     1 12657908  8664 0                   0 S vendor.qti.hardware.iop@2.0-service
system        1292     1 12416796  4712 0                   0 S vendor.qti.hardware.lights.service
root          1294     1 12426520  5512 0                   0 S vendor.qti.hardware.limits@1.2-service
root          1296     1 13391956 23232 0                   0 S vendor.qti.hardware.perf-hal-service
system        1297     1 12429424  6964 0                   0 S vendor.qti.hardware.secureprocessor@1.0
system        1300     1 12439316  6336 0                   0 S vendor.qti.hardware.sensorscalibrate@1.0-service
system        1301     1 12483884  5428 0                   0 S vendor.qti.hardware.servicetracker@1.2-service
system        1302     1 12503428  6236 0                   0 S vendor.qti.hardware.soter@1.0-service
system        1307     1 12455064  9428 0                   0 S vendor.qti.hardware.trustedui@1.0-service-qti
system        1311     1 12435744  5236 0                   0 S vendor.qti.hardware.vibrator.service
mediacodec    1317     1 12728296 25972 0                   0 S media.hwcodec
mediacodec    1318     1 12714528 18476 0                   0 S media.audio.qc.codec
system        1330     1 12439568  6488 0                   0 S vendor.qti.memory.pasrmanager@1.0-service
system        1334     1 12385172  4748 0                   0 S vendor.qti.qspa-service
root          1338     2       0      0 0                   0 S [gmu_f2h]
system        1342     1 12457972  5116 0                   0 S vendor.qti.qspmhal@1.0-service
system        1345     1 12539636  6552 0                   0 S vendor.qti.secure_element@1.2-service
media         1348     1 12453116  8148 0                   0 S vppservice
system        1364     1 12399512  4128 0                   0 S pd-mapper
system        1369     1 12484656  4596 0                   0 S pm-service
credstore     1375     1 12521568  8052 0                   0 S credstore
gpu_service   1383     1 12436020  7780 0                   0 S gpuservice
system        1386     1 12506528  8296 0                   0 S qsap_sensors
nobody        1387     1 12380344  3028 0                   0 S rmt_storage
vendor_rfs    1390     1 12377384  3152 0                   0 S tftp_server
system        1391     1 12548708  5276 0                   0 S sensors.qti
root          1404     1   77168  26388 0                   0 S pservice
root          1664     2       0      0 0                   0 I [kworker/3:0]
cameraserver  1784     1 13379860 30816 0                   0 S cameraserver
media         1785     1 13259564 36504 0                   0 S mediaserver
wifi          1786     1 12429804  7288 0                   0 S wificond
system        1788     1 12615340  8896 0                   0 S qwesd
system        1795     1 12511824  4588 0                   0 S pm-proxy
drm           1806     1   30656   7912 0                   0 S drmserver
nobody        1807     1 12426884  3344 0                   0 S traced_probes
nobody        1810     1 12393464  3768 0                   0 S traced
system        1824     1 12434472  5412 0                   0 S tcmd
system        1825     1 12524296  6260 0                   0 S android.hardware.gatekeeper@1.0-service-qti
system        1827     1 12446000  6644 0                   0 S dpmQmiMgr
system        1828     1 12480660  7192 0                   0 S feature_enabler_client
system        1829     1 12639308  8016 0                   0 S vendor.dpmd
system        1831     1 12440396 10368 0                   0 S cnss_diag
root          1835     1 16496824 166556 0                  0 S zygote64
root          1841     1 1771824 139576 0                   0 S zygote
incidentd     1843     1 12433724  5620 0                   0 S incidentd
root          1846     1 12456444  7940 0                   0 S installd
mediaex       1850     1 12951484 34160 0                   0 S media.extractor
media         1851     1 12611864 10596 0                   0 S media.metrics
root          1855     1 12689632 12428 0                   0 S netd
root          1857     1 12485436  7780 0                   0 S storaged
system        1859     1 12506260  7904 0                   0 S perfservice
mediacodec    1862     1   36320  10536 0                   0 S media.codec
system        1864     1 12659980 16180 0                   0 S cnd
system        1866     1 12541036 11184 0                   0 S wifidisplayhalservice
radio         1868     1 12580404  9596 0                   0 S qsap_dcfd
radio         1869     1 12467844  6516 0                   0 S dlsc
radio         1870     1 12542644  6492 0                   0 S ims-dataservice-daemon
radio         1873     1 12496240  8780 0                   0 S ims_rtp_daemon
radio         1874     1 12710148 14528 0                   0 S imsdaemon
radio         1876     1 12392468  2940 0                   0 S ipacm-diag
radio         1878     1 12503496  8284 0                   0 S ipacm
radio         1883     1 12401208 11008 0                   0 S modemManager
radio         1888     1 12608660 12316 0                   0 S qms
root          1890  1855 12381184  3416 0                   0 S iptables-restore
root          1892  1855 12370944  3408 0                   0 S ip6tables-restore
radio         1895     1 12427084  6220 0                   0 S tlpd
gps           1898     1 12511932  7812 0                   0 S qsap_location
system        1901     1 12442892  7372 0                   0 S qsap_qapeservice
system        1904     1 12472752  5380 0                   0 S adsprpcd
system        1910     1 12461456  5128 0                   0 S wfdvndservice
mediacodec    1911     1 12962952 31316 0                   0 S media.swcodec
system        1913     1 12507540  6352 0                   0 S cnss-daemon
radio         1918     1 12397080  2496 0                   0 S ssgqmigd
gps           1923     1 12465972  6164 0                   0 S mlid
gps           1925     1 12531644  6088 0                   0 S loc_launcher
root          1930     2       0      0 0                   0 S [irq/350-glink-native-adsp]
system        1932     1 12462368  6164 0                   0 S gatekeeperd
root          1933     2       0      0 0                   0 S [qrtr_rx]
root          1934     1 12506532  8720 0                   0 S update_engine
system        1937     1 12559732  7916 0                   0 S qcc-vendor
